,Question,answer_class,Category_int,Answer
,Как выглядит последовательность курсов в программе?,6,1,"Курсы проходят в порядке, указанном в разделе «Моё обучение». Расписание для них будет появляться постепенно."
,Как можно узнать расписание курсов и лекций?,22,7,"Расписание вебинаров зависит от группы, в которой вы учитесь. Проверить расписание можно в календаре на gb.ru — там отобразятся все уже запланированные уроки."
,"Вопрос: В какой момент времени необходимо было произвести оплату за обучение, чтобы получить соответствующее удостоверение?",3,0,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
,"Как можно улучшить оценку ""не принято""?",10,2,"Задания, которые требуют проверки, оценивает преподаватель или ревьюер. За работу вы можете получить:

«отлично»
«хорошо»
«удовлетворительно»
«не принято»
Если преподаватель поставил «не принято», вы можете пересдать работу. На странице с практическим заданием автоматически откроется возможность прикрепить новый файл или ссылку. Там же будет указан новый дедлайн. Если вы не успеете прикрепить работу в новый срок, пересдать её больше не получится, а оценка останется прежней — «не принято»."
,Как отправить домашнее задание на платформе?,12,5,"Задание найдёте внутри курса, во вкладке «Практическое задание». Там же сможете сдать работу. Сделать это можно несколькими способами:

- перейти по ссылке и решить задачу, если это задание с автоматической проверкой кода;
- прикрепить файл с выполненным заданием — нажать на зелёную кнопку «Загрузить практическое задание»;
- если делали работу в git или гугл-документе, прикрепить ссылку на него в поле «‎Комментарий к практическому заданию». Не забудьте открыть доступ к документу, чтобы эксперт смог сразу приступить к проверке."
,Какие программы и инструменты необходимы для обучения на тестировщика?,24,8,"Специализация «Тестировщик»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 4 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 30 Гб и больше
macOS

ОС macOS Catalina (версия 10.15) или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 2 Гб видеопамяти
Свободное место на жёстком диске 40 Гб и больше"
,Как мне найти помощь при поиске работы?,26,9,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
,Как можно узнать о документах или сертификатах после окончания обучения?,0,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
,Вопрос: Где можно посмотреть онлайн-трансляции вебинаров?,5,1,Обычно уроки проходят на одной из платформ — Zoom или livedigital.
,Как отключить уведомления от вашей платформы?,17,4,"На странице профиля нажмите «Редактировать профиль» и откройте вкладку «‎Уведомления». Чтобы включить или выключить уведомления, переключите тумблер. Если хотите получать сообщения только о некоторых событиях, отметьте их галочкой."
,Вопрос: Когда будет опубликовано расписание?,6,1,"Курсы проходят в порядке, указанном в разделе «Моё обучение». Расписание для них будет появляться постепенно."
,Как можно получить итоговый документ об образовании?,1,0,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
,Как мне настроить уведомления о предстоящих уроках в моем профиле?,17,4,"На странице профиля нажмите «Редактировать профиль» и откройте вкладку «‎Уведомления». Чтобы включить или выключить уведомления, переключите тумблер. Если хотите получать сообщения только о некоторых событиях, отметьте их галочкой."
,Можно ли получить диплом на бумаге?,4,0,Диплом или удостоверение отправим бесплатно Почтой России.
,"Как узнать, какие курсы мне нужно пройти в рамках моего обучения?",14,4,"Вкладка ЛК - Моё обучение. Здесь находятся все курсы, которые вам доступны. Они объединены в несколько разделов — Основное обучение, Отдельные курсы, Буткемп, Карьера, Наставничество."
,Как можно переформулировать вопрос: Какие аспекты включает в себя подготовка к основному обучению в ЛК?,15,4,"Подготовка — курсы, которые помогут подготовиться к основной программе;

Активные — курсы, которые идут сейчас;

Четверти — основные курсы программы. Расписание для них появится автоматически, если вы записаны в группу."
,Как долго я буду учиться?,13,6,"Длительность программы зависит от пакета обучения:

Специалист — 6 или 9 месяцев — зависит от технологической специализации, уровень Junior.
Специалист с опытом — 6 месяцев. Опция для тех, у кого уже есть базовые знания или опыт в IT.
Инженер — 12 месяцев, уровень Junior.
Мастер — 24 месяца, уровень Middle.
Про — 36 месяцев, уровень Middle+."
,Какие программы и инструменты необходимы для обучения на программиста?,23,8,"Специализация «Программист»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 2 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 20 Гб и больше
macOS

ОС macOS 10.13 или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 1 Гб видеопамяти
Свободное место на жёстком диске 10 Гб и больше"
,Как выглядит консультация?,8,1,"Сейчас в GeekBrains около 40 форматов занятий. Самые популярные: лекции, семинары, практикумы и консультации. Вы можете встретить не все — форматы зависят от программы курса.

Лекции — теоретический блок. Преподаватель рассказывает теорию и показывает примеры. Занятия проходят по расписанию, в формате вебинара или в записи.

Семинары — практический блок. Преподаватель делает упор на прикладные знания, помогает закрепить теорию практикой, отвечает на вопросы студентов. Занятия проходят по расписанию в формате вебинара, но их можно пересмотреть в записи. Советуем заниматься очно, чтобы не копить вопросы.

Практикумы — занятия для ответов на вопросы. Обычно их проводят после сложных тем. Например, на «Разработчике» практикумы есть после курсов «Введение в контроль версий» и «Знакомство с языками программирования». Занятия идут по расписанию в формате вебинара.

Консультации — индивидуальные занятия преподавателя со студентом. Вы можете попросить о консультации, если у вас набралось много вопросов, хотите подтянуть или углубить знания в какой-то теме. Это дополнительная возможность за рамками основной программы. Она оплачивается отдельно."
,Как можно переформулировать вопрос: Какие услуги входят в процесс содействия в поиске работы?,27,9,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
,Каковы отличия в структуре и продолжительности между программами профессиональной переподготовки и повышения квалификации?,20,6,"Программы профессиональной переподготовки направлены на освоение знаний и навыков в новой для вас сфере. Например, если вы занимаетесь менеджментом, но хотите научиться программировать.

Программы повышения квалификации направлены на совершенствование и получение новых навыков в сфере, в которой у вас уже есть квалификация. Например, если вы копирайтер, но хотите стать редактором."
,"Можно ли ожидать, что уроки будут интерактивными и позволят задавать вопросы?",7,1,"Мы используем разные форматы обучения. Вас ждут лекции и практикумы, групповые занятия и индивидуальные консультации, вебинары и записанные уроки, интервью с предпринимателями и учёными. В процессе обучения вы столкнётесь с несколькими видами курсов:

Видеокурсы с предзаписанными видео, которые вы можете посмотреть в любое время. Чаще всего это подготовительные и вводные курсы, а также курсы от нашей команды. Например: «‎Курс компьютерной грамотности», «Центр карьеры GeekBrains: как мы помогаем студентам в поиске работы» и «‎Итоговые документы об обучении — старт учёбы».
В таких курсах нет домашних заданий, за которые вы получите оценку, но иногда есть задания для самопроверки и закрепления материала.

Вебинарные курсы с онлайн-уроками по расписанию. Если вы не смогли прийти на вебинар, сможете посмотреть его в записи. После урока нужно выполнить домашнее задание, чтобы закрепить материал. Преподаватель или ревьюер проверит работу и поставит за неё оценку. Иногда на таких курсах есть наставник, которому можно задать вопрос по программе.

Курсы смешанного формата включают в себя видеоуроки и вебинары, разные практические задания — для оценки и для самопроверки. Как и на вебинарных курсах, работы проверяет преподаватель или ревьюер."
,Вопрос: В каком месте проводятся уроки?,5,1,Обычно уроки проходят на одной из платформ — Zoom или livedigital.
,"Есть ли в вашей образовательной программе мероприятия или ресурсы, которые помогают студентам найти работу после окончания обучения?",25,9,"Мы помогаем нашим выпускникам найти работу. Как мы это делаем, можно узнать здесь - https://gb.ru/employmentassistance"
,Как получить диплом?,4,0,Диплом или удостоверение отправим бесплатно Почтой России.
,Как мне добавить информацию о себе в свой профиль?,18,4,"На странице профиля нажмите «Редактировать профиль».

Вы можете указать ФИО, дату рождения, интересы, email и телефон, рассказать о себе. Мы советуем также указать город и часовой пояс, это нужно для корректной работы календаря.

Чтобы подтвердить номер телефона, введите его в поле «Телефон для авторизации», нажмите «‎Сохранить», а затем — «‎Подтвердить телефон».

Удалить аккаунт можно на этой же странице."
,Как мне найти задание для выполнения?,12,5,"Задание найдёте внутри курса, во вкладке «Практическое задание». Там же сможете сдать работу. Сделать это можно несколькими способами:

- перейти по ссылке и решить задачу, если это задание с автоматической проверкой кода;
- прикрепить файл с выполненным заданием — нажать на зелёную кнопку «Загрузить практическое задание»;
- если делали работу в git или гугл-документе, прикрепить ссылку на него в поле «‎Комментарий к практическому заданию». Не забудьте открыть доступ к документу, чтобы эксперт смог сразу приступить к проверке."
,В какие дни недели проводятся уроки?,22,7,"Расписание вебинаров зависит от группы, в которой вы учитесь. Проверить расписание можно в календаре на gb.ru — там отобразятся все уже запланированные уроки."
,Вопрос: Когда будет доступна запись вебинара?,9,1,"Если вы не смогли присутствовать на вебинаре, посмотрите его в записи. Видео появится на странице урока в течение суток после его окончания."
,"Что делать, если налоговая служба не принимает договор с вашей школой?",29,0,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
,Какого рода документ я получу после прохождения обучения?,0,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
,С какого времени начинается отсчет срока обучения для возможных переводов?,11,3,"Мы можем перевести вас в другую группу в рамках срока обучения и дополнительных 6 месяцев сверху. Срок обучения отсчитывается с даты оплаты обучения.
Количество переводов зависит от срока программы:

Если ваш продукт предусматривает возможность выбора специализации:
12 месяцев — 1 перевод на каждый блок обучения, суммарно 3 перевода на весь срок обучения.
24 месяца — 1 перевод на каждый блок обучения, суммарно 4 перевода на весь срок обучения.
36 месяцев — 1 перевод на каждый блок обучения, суммарно 4 перевода на весь срок обучения.
Если ваш продукт не предусматривает возможность выбора специализации:
6 месяцев — 1 перевод на все время обучения.
9 месяцев — 1 перевод на все время обучения.
12 месяцев — 2 перевода на все время обучения.
Узнать о сроках обучения и специализациях можно из программы обучения на странице вашего продукта."
,Как организованы занятия на курсе?,7,1,"Мы используем разные форматы обучения. Вас ждут лекции и практикумы, групповые занятия и индивидуальные консультации, вебинары и записанные уроки, интервью с предпринимателями и учёными. В процессе обучения вы столкнётесь с несколькими видами курсов:

Видеокурсы с предзаписанными видео, которые вы можете посмотреть в любое время. Чаще всего это подготовительные и вводные курсы, а также курсы от нашей команды. Например: «‎Курс компьютерной грамотности», «Центр карьеры GeekBrains: как мы помогаем студентам в поиске работы» и «‎Итоговые документы об обучении — старт учёбы».
В таких курсах нет домашних заданий, за которые вы получите оценку, но иногда есть задания для самопроверки и закрепления материала.

Вебинарные курсы с онлайн-уроками по расписанию. Если вы не смогли прийти на вебинар, сможете посмотреть его в записи. После урока нужно выполнить домашнее задание, чтобы закрепить материал. Преподаватель или ревьюер проверит работу и поставит за неё оценку. Иногда на таких курсах есть наставник, которому можно задать вопрос по программе.

Курсы смешанного формата включают в себя видеоуроки и вебинары, разные практические задания — для оценки и для самопроверки. Как и на вебинарных курсах, работы проверяет преподаватель или ревьюер."
,Как отличаются программа профессиональной переподготовки от программы повышения квалификации?,20,6,"Программы профессиональной переподготовки направлены на освоение знаний и навыков в новой для вас сфере. Например, если вы занимаетесь менеджментом, но хотите научиться программировать.

Программы повышения квалификации направлены на совершенствование и получение новых навыков в сфере, в которой у вас уже есть квалификация. Например, если вы копирайтер, но хотите стать редактором."
,"Нужно ли обязательно проходить курсы, которые находятся во вкладке ""Отдельные""?",16,4,"Здесь находятся курсы, которые не входят в программу обучения. Например, «GeekSpeak» — тематические онлайн-лекции от экспертов. Вы можете проходить их по желанию."
,"Каковы отличия между программами ""Специалист"" и ""Специалист с опытом""?",13,6,"Длительность программы зависит от пакета обучения:

Специалист — 6 или 9 месяцев — зависит от технологической специализации, уровень Junior.
Специалист с опытом — 6 месяцев. Опция для тех, у кого уже есть базовые знания или опыт в IT.
Инженер — 12 месяцев, уровень Junior.
Мастер — 24 месяца, уровень Middle.
Про — 36 месяцев, уровень Middle+."
,Как начать процесс обучения?,14,4,"Вкладка ЛК - Моё обучение. Здесь находятся все курсы, которые вам доступны. Они объединены в несколько разделов — Основное обучение, Отдельные курсы, Буткемп, Карьера, Наставничество."
,"Можете ли вы порекомендовать программы, которые помогут мне стать эффективным тестировщиком, если я являюсь студентом и изучаю эту специализацию на вашей платформе?",24,8,"Специализация «Тестировщик»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 4 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 30 Гб и больше
macOS

ОС macOS Catalina (версия 10.15) или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 2 Гб видеопамяти
Свободное место на жёстком диске 40 Гб и больше"
,"Как выглядят курсы, которые находятся в разделе ""Отдельные""?",16,4,"Здесь находятся курсы, которые не входят в программу обучения. Например, «GeekSpeak» — тематические онлайн-лекции от экспертов. Вы можете проходить их по желанию."
,Как мне перевестись в другую группу?,11,3,"Мы можем перевести вас в другую группу в рамках срока обучения и дополнительных 6 месяцев сверху. Срок обучения отсчитывается с даты оплаты обучения.
Количество переводов зависит от срока программы:

Если ваш продукт предусматривает возможность выбора специализации:
12 месяцев — 1 перевод на каждый блок обучения, суммарно 3 перевода на весь срок обучения.
24 месяца — 1 перевод на каждый блок обучения, суммарно 4 перевода на весь срок обучения.
36 месяцев — 1 перевод на каждый блок обучения, суммарно 4 перевода на весь срок обучения.
Если ваш продукт не предусматривает возможность выбора специализации:
6 месяцев — 1 перевод на все время обучения.
9 месяцев — 1 перевод на все время обучения.
12 месяцев — 2 перевода на все время обучения.
Узнать о сроках обучения и специализациях можно из программы обучения на странице вашего продукта."
,Как можно получить поддержку при поиске работы?,26,9,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
,"Мне бы хотелось узнать, какие программные требования необходимы для того, чтобы стать специалистом в области программирования?",23,8,"Специализация «Программист»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 2 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 20 Гб и больше
macOS

ОС macOS 10.13 или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 1 Гб видеопамяти
Свободное место на жёстком диске 10 Гб и больше"
,Какие документы требуются для получения диплома?,2,0,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
,"Где на сайте GeekBrains можно найти список курсов, которые мне следует пройти?",14,4,"Вкладка ЛК - Моё обучение. Здесь находятся все курсы, которые вам доступны. Они объединены в несколько разделов — Основное обучение, Отдельные курсы, Буткемп, Карьера, Наставничество."
,Как я могу найти записи прошлых вебинаров?,9,1,"Если вы не смогли присутствовать на вебинаре, посмотрите его в записи. Видео появится на странице урока в течение суток после его окончания."
,"Можно ли повторно сдать работу, если я не уложился в срок для пересдачи?",10,2,"Задания, которые требуют проверки, оценивает преподаватель или ревьюер. За работу вы можете получить:

«отлично»
«хорошо»
«удовлетворительно»
«не принято»
Если преподаватель поставил «не принято», вы можете пересдать работу. На странице с практическим заданием автоматически откроется возможность прикрепить новый файл или ссылку. Там же будет указан новый дедлайн. Если вы не успеете прикрепить работу в новый срок, пересдать её больше не получится, а оценка останется прежней — «не принято»."
,Можно ли мне получить налоговый вычет за ваше обучение?,28,0,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
,Можете ли вы рассказать подробнее о структуре программы обучения?,19,6,"Основной блок, где вы получите базовые навыки, которые нужны, чтобы освоить профессию.
Специализация — интересная вам специальность, на которой вы сфокусируетесь.
Технологическая специализация — узкопрофильный технологический путь в рамках специализации."
,Какие существуют форматы обучения?,8,1,"Сейчас в GeekBrains около 40 форматов занятий. Самые популярные: лекции, семинары, практикумы и консультации. Вы можете встретить не все — форматы зависят от программы курса.

Лекции — теоретический блок. Преподаватель рассказывает теорию и показывает примеры. Занятия проходят по расписанию, в формате вебинара или в записи.

Семинары — практический блок. Преподаватель делает упор на прикладные знания, помогает закрепить теорию практикой, отвечает на вопросы студентов. Занятия проходят по расписанию в формате вебинара, но их можно пересмотреть в записи. Советуем заниматься очно, чтобы не копить вопросы.

Практикумы — занятия для ответов на вопросы. Обычно их проводят после сложных тем. Например, на «Разработчике» практикумы есть после курсов «Введение в контроль версий» и «Знакомство с языками программирования». Занятия идут по расписанию в формате вебинара.

Консультации — индивидуальные занятия преподавателя со студентом. Вы можете попросить о консультации, если у вас набралось много вопросов, хотите подтянуть или углубить знания в какой-то теме. Это дополнительная возможность за рамками основной программы. Она оплачивается отдельно."
,Как я могу получить удостоверение при определенных условиях?,3,0,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
